payment_id,payment_reference,loan_id,emi_number,payment_date,emi_amount,principal_paid,interest_paid,late_fee,payment_method,payment_status,remaining_balance
28,BKAIPAY10435578,2,9,2025-05-10,34672.39,25193.82,9478.57,0,Cheque,Paid,1273525.48
29,BKAIPAY77187530,2,10,2025-06-09,34672.39,20145.93,14526.46,0,IMPS,Paid,1253379.55
30,BKAIPAY93926371,2,11,2025-07-09,34672.39,23337.28,11335.11,0,Auto Debit,Paid,1230042.27
31,BKAIPAY30513739,2,12,2025-08-08,34672.39,22199.44,12472.95,0,Auto Debit,Paid,1207842.83
32,BKAIPAY10076758,2,13,2025-09-07,34672.39,26337.59,8334.8,1286,UPI,Late,1181505.24
33,BKAIPAY58718453,2,14,2025-10-07,34672.39,23502.63,11169.76,0,Cash,Paid,1158002.61
34,BKAIPAY17774584,2,15,2025-11-06,34672.39,20528.95,14143.44,0,Auto Debit,Paid,1137473.66
35,BKAIPAY75228535,2,16,2025-12-06,34672.39,22820.01,11852.38,0,IMPS,Paid,1114653.65
36,BKAIPAY26879290,2,17,2026-01-05,34672.39,19260.65,15411.74,0,Auto Debit,Paid,1095393.0
37,BKAIPAY45575298,2,18,2026-02-04,34672.39,23618.12,11054.27,0,UPI,Paid,1071774.88
38,BKAIPAY36998038,2,19,2026-03-06,34672.39,22479.9,12192.49,1304,NEFT,Late,1049294.98
39,BKAIPAY60119651,2,20,2026-04-05,34672.39,24279.41,10392.98,0,UPI,Paid,1025015.57
40,BKAIPAY40158366,2,21,2026-05-05,34672.39,23251.51,11420.88,0,Auto Debit,Paid,1001764.06
41,BKAIPAY88979095,2,22,2026-06-04,34672.39,27555.58,7116.81,0,Auto Debit,Paid,974208.48
42,BKAIPAY40728046,2,23,2026-07-04,34672.39,27122.54,7549.85,0,Auto Debit,Paid,947085.94
43,BKAIPAY79008866,2,24,2026-08-03,34672.39,27465.62,7206.77,0,Auto Debit,Paid,919620.32
44,BKAIPAY27758595,2,25,2026-09-02,34672.39,21939.15,12733.24,0,NEFT,Paid,897681.17
45,BKAIPAY42614537,2,26,2026-10-02,34672.39,20089.33,14583.06,0,IMPS,Paid,877591.84
46,BKAIPAY23009833,2,27,2026-11-01,34672.39,20738.45,13933.94,0,NEFT,Paid,856853.39
47,BKAIPAY17270733,2,28,2026-12-01,34672.39,24666.83,10005.56,0,NEFT,Paid,832186.56
48,BKAIPAY64038913,2,29,2026-12-31,34672.39,19207.07,15465.32,0,NEFT,Paid,812979.49
49,BKAIPAY35714784,2,30,2027-01-30,34672.39,20798.3,13874.09,0,Auto Debit,Paid,792181.19
50,BKAIPAY47385696,2,31,2027-03-01,34672.39,23849.29,10823.1,0,UPI,Paid,768331.9
51,BKAIPAY83863413,2,32,2027-03-31,34672.39,20157.78,14514.61,0,Auto Debit,Paid,748174.12
52,BKAIPAY11980765,2,33,2027-04-30,34672.39,22085.06,12587.33,0,Cheque,Paid,726089.06
53,BKAIPAY32321899,2,34,2027-05-30,34672.39,19708.07,14964.32,0,UPI,Paid,706380.99
54,BKAIPAY17869910,2,35,2027-06-29,34672.39,23565.45,11106.94,0,Auto Debit,Paid,682815.54
55,BKAIPAY71070189,2,36,2027-07-29,34672.39,27719.23,6953.16,0,Auto Debit,Paid,655096.31
56,BKAIPAY84593961,2,37,2027-08-28,34672.39,21699.79,12972.6,0,NEFT,Paid,633396.52
57,BKAIPAY39219319,2,38,2027-09-27,34672.39,23519.4,11152.99,0,Cheque,Paid,609877.12
58,BKAIPAY52091325,2,39,2027-10-27,34672.39,22717.52,11954.87,0,Auto Debit,Paid,587159.6
59,BKAIPAY81286543,2,40,2027-11-26,34672.39,22674.2,11998.19,0,Auto Debit,Paid,564485.4
60,BKAIPAY34941004,2,41,2027-12-26,34672.39,19409.79,15262.6,0,Auto Debit,Paid,545075.61
61,BKAIPAY64193837,2,42,2028-01-25,34672.39,27148.82,7523.57,0,Auto Debit,Paid,517926.79
62,BKAIPAY89795010,2,43,2028-02-24,34672.39,20020.81,14651.58,0,Auto Debit,Paid,497905.98
63,BKAIPAY44999379,3,1,2024-11-12,36441.87,24004.01,12437.86,0,Auto Debit,Paid,595507.78
64,BKAIPAY63121477,3,2,2024-12-12,36441.87,22628.65,13813.22,0,Auto Debit,Paid,572879.13
65,BKAIPAY19736572,3,3,2025-01-11,36441.87,23272.68,13169.19,0,Auto Debit,Paid,549606.45
66,BKAIPAY23419256,3,4,2025-02-10,36441.87,23494.44,12947.43,0,Auto Debit,Paid,526112.01
67,BKAIPAY56843172,3,5,2025-03-12,36441.87,27211.56,9230.31,0,Cash,Paid,498900.45
68,BKAIPAY31172421,3,6,2025-04-11,36441.87,21142.93,15298.94,0,UPI,Paid,477757.52
69,BKAIPAY97775215,3,7,2025-05-11,36441.87,24204.53,12237.34,0,UPI,Paid,453552.99
70,BKAIPAY99038526,3,8,2025-06-10,36441.87,23068.95,13372.92,0,Auto Debit,Paid,430484.04
71,BKAIPAY24366125,3,9,2025-07-10,36441.87,21153.35,15288.52,0,NEFT,Paid,409330.69
72,BKAIPAY38270233,3,10,2025-08-09,36441.87,27737.29,8704.58,0,NEFT,Paid,381593.4
73,BKAIPAY45431319,3,11,2025-09-08,36441.87,27298.63,9143.24,0,UPI,Paid,354294.77
74,BKAIPAY16818112,3,12,2025-10-08,36441.87,26865.66,9576.21,0,Auto Debit,Paid,327429.11
75,BKAIPAY10475894,3,13,2025-11-07,36441.87,25294.52,11147.35,0,Auto Debit,Paid,302134.59
76,BKAIPAY69302158,3,14,2025-12-07,36441.87,27961.67,8480.2,1161,UPI,Missed,274172.92
77,BKAIPAY20099059,3,15,2026-01-06,36441.87,25257.07,11184.8,0,Cash,Paid,248915.85
78,BKAIPAY14835614,3,16,2026-02-05,36441.87,22857.98,13583.89,0,IMPS,Paid,226057.87
79,BKAIPAY27105448,3,17,2026-03-07,36441.87,23846.56,12595.31,0,Auto Debit,Paid,202211.31
80,BKAIPAY43491314,4,1,2026-05-23,72423.61,41663.05,30760.56,0,NEFT,Paid,2493163.3
81,BKAIPAY64543049,4,2,2026-06-22,72423.61,51535.22,20888.39,0,Cheque,Paid,2441628.08
82,BKAIPAY31810617,4,3,2026-07-22,72423.61,44368.92,28054.69,684,Cheque,Late,2397259.16
83,BKAIPAY13326769,4,4,2026-08-21,72423.61,43259.13,29164.48,0,Auto Debit,Paid,2354000.03
84,BKAIPAY65259205,4,5,2026-09-20,72423.61,41200.21,31223.4,0,IMPS,Paid,2312799.82
85,BKAIPAY45810056,4,6,2026-10-20,72423.61,42294.23,30129.38,0,Auto Debit,Paid,2270505.59
86,BKAIPAY15197528,4,7,2026-11-19,72423.61,45241.61,27182.0,0,Cash,Paid,2225263.98
87,BKAIPAY71780854,4,8,2026-12-19,72423.61,53911.52,18512.09,0,Auto Debit,Paid,2171352.46
88,BKAIPAY39920292,4,9,2027-01-18,72423.61,43082.34,29341.27,0,Auto Debit,Paid,2128270.12
89,BKAIPAY19317495,4,10,2027-02-17,72423.61,54442.1,17981.51,0,Cheque,Paid,2073828.02
90,BKAIPAY63643924,4,11,2027-03-19,72423.61,52885.08,19538.53,0,NEFT,Paid,2020942.94
91,BKAIPAY13704481,4,12,2027-04-18,72423.61,42663.64,29759.97,0,Auto Debit,Paid,1978279.3
92,BKAIPAY45630292,4,13,2027-05-18,72423.61,40368.91,32054.7,0,Auto Debit,Paid,1937910.39
93,BKAIPAY52101056,4,14,2027-06-17,72423.61,47137.43,25286.18,0,UPI,Paid,1890772.96
94,BKAIPAY87388337,4,15,2027-07-17,72423.61,40118.41,32305.2,0,Auto Debit,Paid,1850654.55
95,BKAIPAY79782527,4,16,2027-08-16,72423.61,57135.23,15288.38,0,Cash,Paid,1793519.32
96,BKAIPAY36445607,4,17,2027-09-15,72423.61,48189.73,24233.88,0,Auto Debit,Paid,1745329.59
97,BKAIPAY54318698,4,18,2027-10-15,72423.61,56671.95,15751.66,0,NEFT,Paid,1688657.64
98,BKAIPAY50308572,4,19,2027-11-14,72423.61,45927.66,26495.95,0,UPI,Paid,1642729.98
99,BKAIPAY49682169,4,20,2027-12-14,72423.61,45864.19,26559.42,0,UPI,Paid,1596865.79
100,BKAIPAY60888017,4,21,2028-01-13,72423.61,54465.45,17958.16,0,NEFT,Paid,1542400.34
101,BKAIPAY50392808,4,22,2028-02-12,72423.61,41592.78,30830.83,0,UPI,Paid,1500807.56
102,BKAIPAY38210242,4,23,2028-03-13,72423.61,42843.54,29580.07,0,UPI,Paid,1457964.02
103,BKAIPAY72409658,4,24,2028-04-12,72423.61,47437.74,24985.87,0,UPI,Paid,1410526.28
104,BKAIPAY32775593,4,25,2028-05-12,72423.61,45706.05,26717.56,0,NEFT,Paid,1364820.23
105,BKAIPAY93115778,4,26,2028-06-11,72423.61,52800.68,19622.93,0,Auto Debit,Paid,1312019.55
106,BKAIPAY51663795,4,27,2028-07-11,72423.61,43120.59,29303.02,0,Auto Debit,Paid,1268898.96
107,BKAIPAY42862209,4,28,2028-08-10,72423.61,54333.46,18090.15,0,Cheque,Paid,1214565.5
108,BKAIPAY71124923,4,29,2028-09-09,72423.61,46871.22,25552.39,0,UPI,Paid,1167694.28
109,BKAIPAY61536717,4,30,2028-10-09,72423.61,46536.42,25887.19,0,UPI,Paid,1121157.86
110,BKAIPAY10744212,4,31,2028-11-08,72423.61,53521.33,18902.28,0,Cash,Paid,1067636.53
111,BKAIPAY67062156,4,32,2028-12-08,72423.61,42359.84,30063.77,0,Auto Debit,Paid,1025276.69
112,BKAIPAY72350830,4,33,2029-01-07,72423.61,43379.75,29043.86,0,Auto Debit,Paid,981896.94
113,BKAIPAY71265269,4,34,2029-02-06,72423.61,53426.93,18996.68,0,Auto Debit,Paid,928470.01
114,BKAIPAY85017682,4,35,2029-03-08,72423.61,49526.1,22897.51,0,UPI,Paid,878943.91
115,BKAIPAY69849511,5,1,2025-02-01,50948.92,35323.64,15625.28,0,Cash,Paid,2002633.16
116,BKAIPAY44788100,5,2,2025-03-03,50948.92,31287.03,19661.89,0,IMPS,Paid,1971346.13
117,BKAIPAY79967676,5,3,2025-04-02,50948.92,30061.61,20887.31,0,UPI,Paid,1941284.52
118,BKAIPAY48349783,5,4,2025-05-02,50948.92,37711.81,13237.11,0,Auto Debit,Paid,1903572.71
119,BKAIPAY20814950,5,5,2025-06-01,50948.92,36481.37,14467.55,0,Auto Debit,Paid,1867091.34
120,BKAIPAY38716269,5,6,2025-07-01,50948.92,37813.51,13135.41,0,Auto Debit,Paid,1829277.83
121,BKAIPAY65804273,5,7,2025-07-31,50948.92,35567.45,15381.47,0,Auto Debit,Paid,1793710.38
122,BKAIPAY88393811,5,8,2025-08-30,50948.92,30150.41,20798.51,0,Cash,Paid,1763559.97
123,BKAIPAY87267850,5,9,2025-09-29,50948.92,40510.35,10438.57,0,Auto Debit,Paid,1723049.62
124,BKAIPAY62343121,5,10,2025-10-29,50948.92,40684.04,10264.88,0,Cash,Paid,1682365.58
125,BKAIPAY83300637,5,11,2025-11-28,50948.92,28615.07,22333.85,0,IMPS,Paid,1653750.51
126,BKAIPAY46632757,5,12,2025-12-28,50948.92,29323.51,21625.41,0,UPI,Paid,1624427.0
127,BKAIPAY64266464,5,13,2026-01-27,50948.92,40389.44,10559.48,0,NEFT,Paid,1584037.56
128,BKAIPAY93517915,5,14,2026-02-26,50948.92,30053.42,20895.5,0,UPI,Paid,1553984.14
129,BKAIPAY98986321,5,15,2026-03-28,50948.92,29207.37,21741.55,0,Auto Debit,Paid,1524776.77
130,BKAIPAY71968116,5,16,2026-04-27,50948.92,32572.29,18376.63,0,Auto Debit,Paid,1492204.48
131,BKAIPAY71028710,5,17,2026-05-27,50948.92,37445.47,13503.45,0,Auto Debit,Paid,1454759.01
132,BKAIPAY66581473,5,18,2026-06-26,50948.92,31063.18,19885.74,0,Auto Debit,Paid,1423695.83
133,BKAIPAY82399599,5,19,2026-07-26,50948.92,39715.88,11233.04,0,Auto Debit,Paid,1383979.95
134,BKAIPAY19209801,5,20,2026-08-25,50948.92,28634.32,22314.6,0,IMPS,Paid,1355345.63
135,BKAIPAY43189803,5,21,2026-09-24,50948.92,32457.59,18491.33,0,Auto Debit,Paid,1322888.04
136,BKAIPAY26941092,5,22,2026-10-24,50948.92,40499.55,10449.37,0,UPI,Paid,1282388.49
137,BKAIPAY44392446,5,23,2026-11-23,50948.92,39302.13,11646.79,1152,IMPS,Late,1243086.36
138,BKAIPAY25372341,5,24,2026-12-23,50948.92,38621.97,12326.95,0,IMPS,Paid,1204464.39
139,BKAIPAY87669750,5,25,2027-01-22,50948.92,38673.21,12275.71,0,Auto Debit,Paid,1165791.18
140,BKAIPAY60372847,5,26,2027-02-21,50948.92,36785.66,14163.26,0,Auto Debit,Paid,1129005.52
141,BKAIPAY94187049,5,27,2027-03-23,50948.92,31651.83,19297.09,0,Auto Debit,Paid,1097353.69
142,BKAIPAY90585882,5,28,2027-04-22,50948.92,31878.83,19070.09,0,IMPS,Paid,1065474.86
143,BKAIPAY15512205,5,29,2027-05-22,50948.92,30617.41,20331.51,0,Auto Debit,Paid,1034857.45
144,BKAIPAY77908907,5,30,2027-06-21,50948.92,35302.79,15646.13,0,NEFT,Paid,999554.66
145,BKAIPAY75793759,5,31,2027-07-21,50948.92,40597.98,10350.94,0,Auto Debit,Paid,958956.68
146,BKAIPAY71705170,5,32,2027-08-20,50948.92,28521.36,22427.56,0,NEFT,Paid,930435.32
147,BKAIPAY97302916,5,33,2027-09-19,50948.92,35212.24,15736.68,0,Auto Debit,Paid,895223.08
148,BKAIPAY74893936,5,34,2027-10-19,50948.92,30464.92,20484.0,0,UPI,Paid,864758.16
149,BKAIPAY53258988,5,35,2027-11-18,50948.92,30241.56,20707.36,0,Cash,Paid,834516.6
150,BKAIPAY70505620,5,36,2027-12-18,50948.92,30177.92,20771.0,0,Auto Debit,Paid,804338.68
151,BKAIPAY60867083,5,37,2028-01-17,50948.92,34840.04,16108.88,0,Auto Debit,Paid,769498.64
152,BKAIPAY75437844,5,38,2028-02-16,50948.92,34463.04,16485.88,0,Auto Debit,Paid,735035.6
153,BKAIPAY90014570,5,39,2028-03-17,50948.92,30596.96,20351.96,0,NEFT,Paid,704438.64
154,BKAIPAY35643159,5,40,2028-04-16,50948.92,37240.24,13708.68,0,Auto Debit,Paid,667198.4
155,BKAIPAY75876924,6,1,2025-10-29,41643.34,26124.85,15518.49,0,UPI,Paid,1556322.07
156,BKAIPAY64277800,6,2,2025-11-28,41643.34,33135.16,8508.18,0,NEFT,Paid,1523186.91
157,BKAIPAY73519947,6,3,2025-12-28,41643.34,30126.81,11516.53,0,UPI,Paid,1493060.1
158,BKAIPAY54398056,6,4,2026-01-27,41643.34,29735.87,11907.47,2754,Auto Debit,Missed,1463324.23
159,BKAIPAY40942292,6,5,2026-02-26,41643.34,28590.8,13052.54,0,Auto Debit,Paid,1434733.43
160,BKAIPAY81922443,6,6,2026-03-28,41643.34,31309.71,10333.63,0,Cheque,Paid,1403423.72
161,BKAIPAY74988034,6,7,2026-04-27,41643.34,26129.49,15513.85,0,Auto Debit,Paid,1377294.23
162,BKAIPAY90099897,6,8,2026-05-27,41643.34,27176.58,14466.76,0,Auto Debit,Paid,1350117.65
163,BKAIPAY40532273,6,9,2026-06-26,41643.34,32268.11,9375.23,0,Auto Debit,Paid,1317849.54
164,BKAIPAY26989677,6,10,2026-07-26,41643.34,30167.81,11475.53,0,Auto Debit,Paid,1287681.73
165,BKAIPAY26948946,6,11,2026-08-25,41643.34,23171.45,18471.89,0,NEFT,Paid,1264510.28
166,BKAIPAY11646234,6,12,2026-09-24,41643.34,25477.48,16165.86,0,UPI,Paid,1239032.8
167,BKAIPAY34744872,6,13,2026-10-24,41643.34,28427.86,13215.48,0,Cheque,Paid,1210604.94
168,BKAIPAY25312516,6,14,2026-11-23,41643.34,30686.16,10957.18,0,IMPS,Paid,1179918.78
169,BKAIPAY94482772,6,15,2026-12-23,41643.34,29142.97,12500.37,0,NEFT,Paid,1150775.81
170,BKAIPAY50780112,6,16,2027-01-22,41643.34,31735.07,9908.27,0,Auto Debit,Paid,1119040.74
171,BKAIPAY65857931,6,17,2027-02-21,41643.34,30730.8,10912.54,0,NEFT,Paid,1088309.94
172,BKAIPAY80138498,6,18,2027-03-23,41643.34,25082.4,16560.94,0,Auto Debit,Paid,1063227.54
173,BKAIPAY88990506,6,19,2027-04-22,41643.34,23856.38,17786.96,0,Cheque,Paid,1039371.16
174,BKAIPAY91823275,6,20,2027-05-22,41643.34,30135.41,11507.93,0,Cheque,Paid,1009235.75
175,BKAIPAY93955206,6,21,2027-06-21,41643.34,32281.57,9361.77,0,Auto Debit,Paid,976954.18
176,BKAIPAY33328859,6,22,2027-07-21,41643.34,26439.06,15204.28,0,UPI,Paid,950515.12
177,BKAIPAY89699989,6,23,2027-08-20,41643.34,31685.04,9958.3,0,UPI,Paid,918830.08
178,BKAIPAY47945817,6,24,2027-09-19,41643.34,32974.86,8668.48,0,NEFT,Paid,885855.22
179,BKAIPAY45507920,6,25,2027-10-19,41643.34,28587.83,13055.51,0,IMPS,Paid,857267.39
180,BKAIPAY36550845,6,26,2027-11-18,41643.34,26807.3,14836.04,0,UPI,Paid,830460.09
181,BKAIPAY45652586,6,27,2027-12-18,41643.34,27645.32,13998.02,0,IMPS,Paid,802814.77
182,BKAIPAY51286958,6,28,2028-01-17,41643.34,32571.24,9072.1,0,UPI,Paid,770243.53
183,BKAIPAY26690465,6,29,2028-02-16,41643.34,24733.64,16909.7,1099,UPI,Late,745509.89
184,BKAIPAY46540265,6,30,2028-03-17,41643.34,30148.83,11494.51,0,UPI,Paid,715361.06
185,BKAIPAY15350023,6,31,2028-04-16,41643.34,28173.85,13469.49,0,Cash,Paid,687187.21
186,BKAIPAY13471527,6,32,2028-05-16,41643.34,25667.56,15975.78,0,Auto Debit,Paid,661519.65
187,BKAIPAY87201917,6,33,2028-06-15,41643.34,23300.37,18342.97,0,UPI,Paid,638219.28
188,BKAIPAY46173157,6,34,2028-07-15,41643.34,33098.69,8544.65,0,UPI,Paid,605120.59
189,BKAIPAY79654147,6,35,2028-08-14,41643.34,25370.07,16273.27,0,NEFT,Paid,579750.52
190,BKAIPAY88561612,6,36,2028-09-13,41643.34,23777.59,17865.75,0,UPI,Paid,555972.93
191,BKAIPAY56702542,6,37,2028-10-13,41643.34,24837.7,16805.64,1162,UPI,Late,531135.23
192,BKAIPAY31585546,6,38,2028-11-12,41643.34,29972.19,11671.15,0,Auto Debit,Paid,501163.04
193,BKAIPAY71045700,7,1,2025-05-18,26616.33,15879.53,10736.8,0,Auto Debit,Paid,1128622.66
194,BKAIPAY64247457,7,2,2025-06-17,26616.33,19613.58,7002.75,0,Cash,Paid,1109009.08
195,BKAIPAY82825679,7,3,2025-07-17,26616.33,15803.93,10812.4,0,UPI,Paid,1093205.15
196,BKAIPAY93568503,7,4,2025-08-16,26616.33,20932.39,5683.94,0,IMPS,Paid,1072272.76
197,BKAIPAY37321124,7,5,2025-09-15,26616.33,17131.54,9484.79,0,Auto Debit,Paid,1055141.22
198,BKAIPAY75056916,7,6,2025-10-15,26616.33,20421.29,6195.04,0,Auto Debit,Paid,1034719.93
199,BKAIPAY42117961,7,7,2025-11-14,26616.33,14817.66,11798.67,0,NEFT,Paid,1019902.27
200,BKAIPAY64759583,7,8,2025-12-14,26616.33,19225.31,7391.02,0,Auto Debit,Paid,1000676.96
201,BKAIPAY71934487,7,9,2026-01-13,26616.33,14690.5,11925.83,0,Cash,Paid,985986.46
202,BKAIPAY49172995,7,10,2026-02-12,26616.33,16983.15,9633.18,0,UPI,Paid,969003.31
203,BKAIPAY73380266,7,11,2026-03-14,26616.33,19473.67,7142.66,0,Auto Debit,Paid,949529.64
204,BKAIPAY90447099,7,12,2026-04-13,26616.33,17624.9,8991.43,0,UPI,Paid,931904.74
205,BKAIPAY47077298,7,13,2026-05-13,26616.33,15441.95,11174.38,0,IMPS,Paid,916462.79
206,BKAIPAY78147397,7,14,2026-06-12,26616.33,15607.73,11008.6,0,Auto Debit,Paid,900855.06
207,BKAIPAY88777447,7,15,2026-07-12,26616.33,21275.99,5340.34,0,UPI,Paid,879579.07
208,BKAIPAY69934576,7,16,2026-08-11,26616.33,16901.76,9714.57,0,UPI,Paid,862677.31
209,BKAIPAY82937948,7,17,2026-09-10,26616.33,18996.58,7619.75,0,Auto Debit,Paid,843680.73
210,BKAIPAY42051937,7,18,2026-10-10,26616.33,15085.79,11530.54,0,UPI,Paid,828594.94
211,BKAIPAY15858241,7,19,2026-11-09,26616.33,19738.92,6877.41,0,Auto Debit,Paid,808856.02
212,BKAIPAY61167978,7,20,2026-12-09,26616.33,18145.84,8470.49,0,Auto Debit,Paid,790710.18
213,BKAIPAY30415230,7,21,2027-01-08,26616.33,16876.82,9739.51,0,UPI,Paid,773833.36
214,BKAIPAY89212676,7,22,2027-02-07,26616.33,21046.73,5569.6,0,Auto Debit,Paid,752786.63
215,BKAIPAY23383077,7,23,2027-03-09,26616.33,20625.23,5991.1,0,UPI,Paid,732161.4
216,BKAIPAY65026398,7,24,2027-04-08,26616.33,18252.63,8363.7,0,Cash,Paid,713908.77
217,BKAIPAY45570755,7,25,2027-05-08,26616.33,14838.89,11777.44,0,Auto Debit,Paid,699069.88
218,BKAIPAY54099326,7,26,2027-06-07,26616.33,16683.75,9932.58,0,Cash,Paid,682386.13
219,BKAIPAY52501540,7,27,2027-07-07,26616.33,15574.93,11041.4,0,NEFT,Paid,666811.2
220,BKAIPAY82613940,7,28,2027-08-06,26616.33,15387.97,11228.36,0,Auto Debit,Paid,651423.23
221,BKAIPAY48571356,7,29,2027-09-05,26616.33,20837.79,5778.54,0,Cheque,Paid,630585.44
222,BKAIPAY23212812,7,30,2027-10-05,26616.33,16324.02,10292.31,0,IMPS,Paid,614261.42
223,BKAIPAY32329103,7,31,2027-11-04,26616.33,16609.32,10007.01,0,NEFT,Paid,597652.1
224,BKAIPAY17532195,7,32,2027-12-04,26616.33,15281.61,11334.72,0,Auto Debit,Paid,582370.49
225,BKAIPAY81291936,7,33,2028-01-03,26616.33,18798.84,7817.49,0,UPI,Paid,563571.65
226,BKAIPAY33497411,7,34,2028-02-02,26616.33,16756.31,9860.02,0,Auto Debit,Paid,546815.34
227,BKAIPAY42323627,7,35,2028-03-03,26616.33,15498.43,11117.9,0,UPI,Paid,531316.91
228,BKAIPAY95618110,7,36,2028-04-02,26616.33,17412.69,9203.64,0,Auto Debit,Paid,513904.22
229,BKAIPAY72445234,7,37,2028-05-02,26616.33,19594.1,7022.23,0,Cash,Paid,494310.12
230,BKAIPAY69287967,7,38,2028-06-01,26616.33,16784.19,9832.14,0,Cash,Paid,477525.93
231,BKAIPAY66949781,7,39,2028-07-01,26616.33,14721.15,11895.18,0,NEFT,Paid,462804.78
232,BKAIPAY61632653,7,40,2028-07-31,26616.33,18253.24,8363.09,0,Cash,Paid,444551.54
233,BKAIPAY58178682,7,41,2028-08-30,26616.33,20583.38,6032.95,0,UPI,Paid,423968.16
234,BKAIPAY98346110,7,42,2028-09-29,26616.33,14687.61,11928.72,0,Auto Debit,Paid,409280.55
235,BKAIPAY16582607,7,43,2028-10-29,26616.33,21239.18,5377.15,0,Cash,Paid,388041.37
236,BKAIPAY57287718,8,1,2025-09-12,67462.92,40886.9,26576.02,0,Auto Debit,Paid,2860018.66
237,BKAIPAY98473848,8,2,2025-10-12,67462.92,50763.62,16699.3,0,NEFT,Paid,2809255.04
238,BKAIPAY94216001,8,3,2025-11-11,67462.92,51663.45,15799.47,0,NEFT,Paid,2757591.59
239,BKAIPAY87789079,8,4,2025-12-11,67462.92,48759.96,18702.96,0,Auto Debit,Paid,2708831.63
240,BKAIPAY53851498,8,5,2026-01-10,67462.92,51753.98,15708.94,0,NEFT,Paid,2657077.65
241,BKAIPAY82398083,8,6,2026-02-09,67462.92,51008.04,16454.88,0,Cash,Paid,2606069.61
242,BKAIPAY46578001,8,7,2026-03-11,67462.92,47799.88,19663.04,0,IMPS,Paid,2558269.73
243,BKAIPAY74672520,8,8,2026-04-10,67462.92,49636.35,17826.57,0,Cheque,Paid,2508633.38
244,BKAIPAY25457816,8,9,2026-05-10,67462.92,48992.56,18470.36,0,UPI,Paid,2459640.82
245,BKAIPAY40281491,8,10,2026-06-09,67462.92,52700.36,14762.56,0,Cash,Paid,2406940.46
246,BKAIPAY59093496,8,11,2026-07-09,67462.92,41755.89,25707.03,2782,Auto Debit,Missed,2365184.57
247,BKAIPAY26587799,8,12,2026-08-08,67462.92,47315.55,20147.37,0,UPI,Paid,2317869.02
