loan_id,loan_number,customer_id,account_id,loan_type_id,branch_id,loan_amount,interest_rate,tenure_months,emi_amount,outstanding_balance,disbursement_date,maturity_date,loan_status,collateral_value,credit_score,purpose,risk_category
36,BKAILN44392446,6044,5499,1,78,489997,10.39,171,5502.39,99445.14,2017-12-29,2032-01-15,Active,864075.37,776,Business Expansion,Low
37,BKAILN23676961,4942,19675,3,16,553852,11.89,30,21431.99,154246.01,2017-06-26,2019-12-13,Active,838791.41,548,Home Purchase,High
38,BKAILN95306788,7533,5014,6,56,4122154,14.73,96,73331.1,803758.13,2020-01-03,2027-11-22,Active,0.0,670,Vehicle Purchase,Medium
39,BKAILN42730796,7614,18673,10,79,1513968,9.42,80,25556.64,1283326.96,2022-10-01,2029-04-27,Active,1757208.2,761,Working Capital,Low
40,BKAILN79340535,3131,2806,1,31,1522467,9.36,203,14966.42,1113022.91,2018-10-26,2035-06-29,Active,1969140.55,310,Personal Expenses,High
41,BKAILN51098277,9529,12093,9,61,4985684,12.91,56,118989.58,1818837.47,2024-06-16,2029-01-21,Active,6895603.77,549,Working Capital,High
42,BKAILN52352128,1959,17560,7,98,1237801,14.98,152,18215.54,258193.28,2022-12-01,2035-05-27,Active,0.0,497,Medical,High
43,BKAILN50569669,232,17503,4,17,4200487,11.45,94,67881.32,1280034.76,2022-03-07,2029-11-25,Active,0.0,483,Home Purchase,High
44,BKAILN43887075,7828,3739,9,9,1529448,10.81,20,83911.04,759251.51,2020-02-19,2021-10-11,Active,1879775.05,352,Business Expansion,High
45,BKAILN80138498,6233,14763,10,57,15716394,8.89,18,935868.1,9465445.52,2024-03-04,2025-08-26,Active,21866561.83,531,Agriculture,High
46,BKAILN10359129,6694,14763,5,89,2871526,9.71,7,423602.39,907053.78,2023-09-28,2024-04-25,Active,4268220.66,460,Vehicle Purchase,High
47,BKAILN67061186,1881,17845,1,29,5597100,8.77,300,46092.28,4545533.48,2016-09-01,2041-04-23,Active,8467587.92,502,Vehicle Purchase,High
48,BKAILN77172238,8848,16181,3,57,1145109,8.98,34,38270.98,824261.13,2020-03-31,2023-01-15,Active,1820509.84,578,Home Purchase,High
49,BKAILN87342561,660,5741,7,61,554243,13.54,166,7403.26,554029.71,2025-04-09,2038-11-27,Active,0.0,575,Personal Expenses,High
50,BKAILN54265498,6745,16236,5,37,1831241,8.54,24,83273.81,712265.64,2021-10-06,2023-09-26,Active,2148448.42,464,Agriculture,High
51,BKAILN17275149,3074,16989,9,47,5972421,9.67,17,377343.44,4132284.33,2025-06-28,2026-11-20,Active,8838081.26,723,Personal Expenses,Medium
52,BKAILN31257157,5092,18050,11,2,1060058,11.27,27,44632.51,568446.16,2017-09-02,2019-11-21,Active,1187486.1,545,Business Expansion,High
53,BKAILN65766169,7906,15474,4,32,6291604,12.47,53,154985.78,3510619.48,2022-03-25,2026-08-01,Active,0.0,579,Education,High
54,BKAILN47962005,4892,19233,7,75,786279,10.55,165,9047.03,437929.02,2016-09-01,2030-03-22,Default,0.0,302,Personal Expenses,High
55,BKAILN86745380,6275,7654,3,100,1197178,10.2,54,27738.3,1056679.0,2021-11-22,2026-04-30,Active,2138809.07,544,Working Capital,High
56,BKAILN23470708,7214,3268,12,68,43240943,13.34,35,1498118.85,23871682.99,2024-02-01,2026-12-17,Closed,0.0,639,Home Purchase,High
57,BKAILN54099326,8743,12453,12,41,823719,11.36,33,29179.81,377045.01,2017-09-25,2020-06-11,Active,0.0,382,Personal Expenses,High
58,BKAILN69549527,2726,9813,9,4,4870580,9.66,16,325657.99,4775622.96,2020-08-20,2021-12-13,Active,7950046.99,402,Home Purchase,High
59,BKAILN93176117,3946,16308,5,75,4227874,9.08,19,239737.64,1069589.91,2023-06-26,2025-01-16,Active,4884369.17,691,Personal Expenses,Medium
60,BKAILN95756900,6952,8196,11,59,399616,10.52,40,11887.5,379919.76,2020-07-19,2023-11-01,Active,715854.59,606,Medical,High
61,BKAILN46840133,133,18545,7,88,1299779,14.19,39,41794.45,475339.16,2017-08-29,2020-11-11,Active,0.0,705,Home Purchase,Medium
62,BKAILN94322033,1592,1292,10,40,4546216,9.24,118,58783.34,1480084.81,2018-07-16,2028-03-25,Active,7405350.0,440,Home Purchase,High
63,BKAILN77349752,4466,5392,10,33,97255,8.09,28,3823.19,56939.59,2016-09-06,2018-12-25,Closed,173118.05,843,Personal Expenses,Low
64,BKAILN84801233,5993,2960,5,51,3964325,10.24,16,266123.57,3465321.68,2022-12-21,2024-04-14,Active,6370478.79,706,Business Expansion,Medium
65,BKAILN54024257,9996,7254,8,83,3598137,10.29,232,35791.14,440851.61,2020-03-19,2039-04-09,Active,6185069.38,874,Personal Expenses,Low
66,BKAILN28208520,6368,14865,12,48,30425562,12.31,19,1770643.25,5703965.26,2024-03-14,2025-10-05,Active,0.0,850,Agriculture,Low
67,BKAILN69686067,3869,11885,10,13,9104941,9.23,31,331236.89,1178585.98,2022-05-14,2024-11-29,Default,12376992.49,754,Working Capital,Low
68,BKAILN16788532,5465,7982,9,17,22737837,13.56,53,572580.64,4149793.53,2020-05-27,2024-10-03,Active,28387599.92,321,Medical,High
69,BKAILN47215199,2371,4260,2,70,2905766,16.72,82,59674.48,2645635.82,2016-08-28,2023-05-24,Active,0.0,302,Education,High
70,BKAILN66500369,8620,3725,2,96,531165,15.46,15,39169.64,179975.04,2023-07-20,2024-10-12,Active,0.0,429,Personal Expenses,High
71,BKAILN74287863,6581,13969,6,88,1556627,14.59,25,72581.61,1506228.97,2018-04-15,2020-05-04,Active,0.0,362,Personal Expenses,High
72,BKAILN61124122,9788,17386,2,38,2275492,17.24,53,61627.34,1350551.81,2018-12-09,2023-04-17,Active,0.0,632,Agriculture,High
73,BKAILN63516659,6816,3116,2,41,1873033,16.45,26,86126.32,884881.13,2022-12-10,2025-01-28,Active,0.0,764,Vehicle Purchase,Low
74,BKAILN84674816,983,19218,6,72,640789,17.68,99,12341.92,490150.01,2017-02-25,2025-04-14,Active,0.0,433,Business Expansion,High
75,BKAILN40097636,1774,11473,7,72,428043,11.44,120,6003.41,124759.52,2019-10-24,2029-09-01,Active,0.0,793,Vehicle Purchase,Low
76,BKAILN46677730,5063,11136,10,45,4607699,7.68,66,85813.09,3900484.99,2018-02-15,2023-07-19,Active,5931091.93,484,Education,High
77,BKAILN53537934,9300,19538,10,11,124383,8.97,20,6718.78,63221.54,2020-10-17,2022-06-09,Closed,150526.63,619,Education,High
78,BKAILN25276327,5656,14088,3,15,671089,11.2,27,28233.49,317267.64,2020-07-18,2022-10-06,Active,839464.07,824,Personal Expenses,Low
79,BKAILN54039837,1966,254,9,64,165615,12.5,14,12774.58,130937.63,2023-02-18,2024-04-13,Active,270766.05,596,Education,High
80,BKAILN52018286,9434,14067,3,74,1549127,9.99,69,29604.14,213891.12,2017-03-07,2022-11-06,Active,1724362.81,379,Agriculture,High
81,BKAILN20555833,6485,10168,5,96,220272,8.35,6,37611.26,70263.43,2024-04-25,2024-10-22,Active,333097.5,836,Working Capital,Low
82,BKAILN44355473,3233,5686,3,78,1612759,9.0,64,31821.78,1344288.34,2018-04-07,2023-07-10,Active,2040766.2,449,Business Expansion,High
83,BKAILN94183695,5180,4947,3,57,4364478,11.84,64,92302.53,2962139.13,2019-03-04,2024-06-05,Active,7814913.69,630,Personal Expenses,High
84,BKAILN20298660,1480,19467,11,65,617802,10.71,41,18059.45,82690.65,2020-06-07,2023-10-20,Active,839046.98,593,Home Purchase,High
85,BKAILN21318464,8267,5655,8,6,391750,12.18,206,4543.7,198018.19,2024-10-22,2041-09-23,Active,653312.37,651,Personal Expenses,Medium
86,BKAILN18846539,5402,3097,8,72,1263150,10.83,216,13311.6,898109.69,2021-09-16,2039-06-14,Active,1435766.85,642,Vehicle Purchase,High
87,BKAILN27307598,9750,2777,5,40,3398222,10.17,27,141339.01,1288634.88,2021-07-31,2023-10-19,Active,5298637.9,701,Working Capital,Medium
88,BKAILN55866538,7968,6292,3,29,1937419,10.93,77,35117.48,825995.15,2025-04-19,2031-08-16,Default,2375632.27,519,Education,High
89,BKAILN30703455,2659,5926,2,89,5316649,12.72,24,252064.51,1158732.48,2018-07-28,2020-07-17,Active,0.0,685,Education,Medium
90,BKAILN42100652,5071,15369,12,25,2996274,13.13,19,175516.4,1510227.47,2016-09-17,2018-04-10,Active,0.0,846,Personal Expenses,Low
91,BKAILN59823245,9086,3362,8,92,3755991,11.69,157,46805.72,3326687.72,2023-12-14,2036-11-05,Active,4268780.91,792,Business Expansion,Low
92,BKAILN65686520,873,12992,5,65,193021,8.25,11,18279.46,161178.89,2023-01-05,2023-12-01,Active,331849.59,327,Agriculture,High
93,BKAILN28628439,7686,14700,2,79,217082,13.31,15,15789.33,200943.38,2022-04-14,2023-07-08,Active,0.0,783,Business Expansion,Low
94,BKAILN66348030,7490,2059,1,15,128391,8.83,333,1034.82,40298.88,2022-04-09,2049-08-15,Active,152181.06,544,Personal Expenses,High
95,BKAILN99170406,1403,17154,10,47,1705962,8.61,92,25395.77,712297.88,2018-08-10,2026-03-01,Active,2558029.63,491,Home Purchase,High
96,BKAILN88101741,5448,4372,7,6,1311349,14.3,23,65522.05,538075.66,2024-09-29,2026-08-20,Active,0.0,406,Working Capital,High
97,BKAILN49385195,3303,1436,11,26,4916674,10.2,73,90671.68,3660171.51,2024-10-17,2030-10-16,Closed,8655920.64,337,Working Capital,High
98,BKAILN26706752,6030,14319,5,52,1492792,9.55,32,53026.06,213504.53,2016-09-29,2019-05-17,Active,2327280.58,579,Agriculture,High
99,BKAILN90859912,2957,17875,6,38,3540765,17.82,75,78598.39,1706824.69,2017-05-07,2023-07-05,Active,0.0,740,Business Expansion,Medium
100,BKAILN92523968,7127,8997,6,82,1763790,15.63,51,47549.97,1330132.17,2025-01-10,2029-03-20,Default,0.0,661,Home Purchase,Medium
101,BKAILN14670638,2069,2204,2,31,240479,15.53,63,5605.71,170807.42,2018-09-09,2023-11-12,Active,0.0,748,Working Capital,Medium
102,BKAILN81062902,6013,13043,6,41,1768976,13.68,84,32838.71,299305.23,2016-12-11,2023-11-05,Active,0.0,440,Medical,High
103,BKAILN92124765,4679,16096,2,26,1585791,10.69,35,52938.04,1163390.24,2022-08-01,2025-06-16,Active,0.0,519,Business Expansion,High
104,BKAILN58518659,8336,7348,8,16,1930110,9.6,173,20641.73,1741342.37,2022-03-31,2036-06-15,Default,3273376.69,478,Education,High
105,BKAILN18824561,5068,13047,4,92,4400306,11.66,30,169798.64,953960.41,2019-04-26,2021-10-12,Active,0.0,388,Agriculture,High
106,BKAILN95871687,9631,5963,7,99,1164856,14.03,30,46259.6,477664.7,2019-09-13,2022-03-01,Default,0.0,864,Agriculture,Low
107,BKAILN48124318,1293,8212,9,26,485888,13.6,15,35406.65,457348.91,2021-11-19,2023-02-12,Active,611164.11,831,Vehicle Purchase,Low
108,BKAILN85647532,675,930,3,11,6414621,10.78,63,133779.76,1629830.5,2023-10-10,2028-12-12,Active,9860141.22,645,Vehicle Purchase,High
109,BKAILN42866956,6654,9747,11,59,5254057,10.34,60,112514.19,1895161.96,2019-05-21,2024-04-24,Active,9297868.87,794,Home Purchase,Low
110,BKAILN27551135,6071,16875,3,72,6205181,10.18,54,143711.97,4720776.23,2021-12-03,2026-05-11,Active,10564594.65,708,Medical,Medium
111,BKAILN53947691,9465,10248,8,25,5424508,9.43,175,57152.99,2583808.53,2018-08-08,2032-12-22,Active,9622426.77,463,Personal Expenses,High
112,BKAILN47763008,8109,19580,9,84,548605,11.6,31,20565.53,161086.88,2022-10-20,2025-05-07,Active,738985.51,351,Vehicle Purchase,High
113,BKAILN84252324,4729,2410,9,50,780882,9.54,18,46732.27,114041.51,2021-01-04,2022-06-28,Active,1166069.07,671,Vehicle Purchase,Medium
114,BKAILN63873262,8194,1320,10,6,702756,9.04,27,28862.3,547776.27,2021-05-27,2023-08-15,Active,870953.98,821,Working Capital,Low
115,BKAILN78090664,8352,17444,8,63,367855,10.82,98,5669.0,281551.59,2018-08-03,2026-08-21,Active,481692.89,644,Vehicle Purchase,High
116,BKAILN45638891,9478,18928,8,30,1913075,11.86,154,24237.5,1692859.41,2017-05-15,2030-01-07,Active,2947058.25,785,Personal Expenses,Low
117,BKAILN66207740,2482,13532,3,89,1297317,10.45,70,24830.35,258044.1,2017-08-24,2023-05-25,Active,1444246.14,621,Personal Expenses,High
118,BKAILN33244151,7532,17470,12,44,31813705,14.86,28,1351495.19,18227008.07,2020-02-20,2022-06-09,Active,0.0,621,Vehicle Purchase,High
119,BKAILN74398125,5715,18367,10,93,3251997,8.45,43,87918.46,931859.79,2017-08-06,2021-02-16,Active,5182030.49,624,Business Expansion,High
120,BKAILN74300930,3506,6622,10,69,1223800,9.03,60,25421.9,209424.6,2017-06-29,2022-06-03,Active,2137742.09,562,Vehicle Purchase,High
121,BKAILN23494908,2253,170,3,71,357668,9.1,71,6533.47,52663.75,2022-11-22,2028-09-21,Default,496912.07,783,Education,Low
122,BKAILN97550053,9407,7610,7,69,1864279,13.09,133,26626.02,1709810.92,2024-11-02,2035-10-06,Active,0.0,391,Home Purchase,High
123,BKAILN90904160,1759,10979,3,37,9155582,10.11,77,162095.66,8139942.77,2022-04-04,2028-07-31,Active,10130532.62,881,Personal Expenses,Low
124,BKAILN49597485,9303,6330,3,23,2472475,11.52,53,59739.26,819720.39,2018-03-26,2022-08-02,Active,3041983.28,645,Agriculture,High
125,BKAILN41611127,7320,8749,7,43,1903532,12.33,34,66618.13,202054.42,2022-09-20,2025-07-06,Active,0.0,692,Home Purchase,Medium
126,BKAILN25759274,4834,12044,5,79,630285,9.96,28,25319.96,452208.22,2020-12-15,2023-04-04,Active,1100587.41,618,Education,High
127,BKAILN89968863,1342,17220,8,58,4944153,9.54,215,48064.82,3449461.36,2016-07-05,2034-03-03,Active,6194470.64,553,Working Capital,High
128,BKAILN69302835,1905,6731,2,92,1648504,17.38,26,76542.1,651663.31,2023-08-29,2025-10-17,Active,0.0,832,Business Expansion,Low
129,BKAILN63143336,4170,99,9,96,776708,11.5,15,55838.69,400890.44,2019-03-28,2020-06-20,Active,1293095.13,322,Business Expansion,High
130,BKAILN60259293,6267,14698,1,49,83428,9.2,299,712.2,21856.73,2020-12-01,2045-06-23,Active,99679.79,730,Education,Medium
131,BKAILN72143331,8921,13898,11,69,3648608,12.94,31,139090.7,3106203.93,2023-01-02,2025-07-20,Active,5944770.38,605,Medical,High
132,BKAILN23542127,9732,1101,4,58,2473305,10.34,63,51038.84,783047.53,2025-04-29,2030-07-02,Active,0.0,368,Home Purchase,High
133,BKAILN52802529,9462,19593,4,99,280142,11.46,126,3832.45,87052.83,2022-04-05,2032-08-10,Active,0.0,889,Working Capital,Low
134,BKAILN94019376,7000,18215,4,64,1593143,9.71,60,33622.7,1519329.86,2019-04-05,2024-03-09,Active,0.0,479,Working Capital,High
135,BKAILN40245233,4928,4731,11,60,324969,12.19,74,6268.17,86276.37,2021-04-13,2027-05-12,Closed,479832.91,546,Agriculture,High
136,BKAILN81891784,3121,1689,7,35,3069530,12.57,46,84433.95,2647224.21,2020-06-16,2024-03-27,Active,0.0,394,Home Purchase,High
137,BKAILN25745913,7847,7950,2,90,30346604,11.91,83,538375.53,8819542.32,2025-05-01,2032-02-24,Active,0.0,494,Medical,High
138,BKAILN76743428,7636,3232,7,93,3596612,14.53,153,51756.99,1206323.32,2022-01-16,2034-08-11,Active,0.0,825,Working Capital,Low
139,BKAILN49620038,2498,6429,4,43,1679700,9.98,129,21280.48,1043477.74,2018-12-14,2029-07-19,Active,0.0,727,Medical,Medium
140,BKAILN75540707,3016,17765,8,83,226980,10.93,235,2345.99,94641.25,2016-08-02,2035-11-21,Closed,271915.45,859,Home Purchase,Low
141,BKAILN71204580,6115,1981,2,80,450733,17.59,18,28671.35,48781.62,2023-10-23,2025-04-15,Active,0.0,817,Personal Expenses,Low
142,BKAILN67790557,2938,3507,11,13,1656881,11.45,24,77570.26,964576.96,2022-06-03,2024-05-23,Active,2155075.25,814,Medical,Low
143,BKAILN40314047,4915,2642,4,84,1243317,10.98,88,20633.19,637943.43,2020-12-12,2028-03-05,Default,0.0,549,Home Purchase,High
144,BKAILN85947990,1563,17307,2,6,339774,13.54,60,7825.15,231187.84,2020-08-20,2025-07-25,Active,0.0,639,Personal Expenses,High
145,BKAILN63458386,1261,9807,5,21,408837,8.14,8,52676.9,46645.15,2021-12-22,2022-08-19,Active,509006.43,447,Agriculture,High
146,BKAILN55713584,9916,19517,11,51,4891178,13.09,45,138124.05,725492.73,2021-08-16,2025-04-27,Default,6876809.31,377,Working Capital,High
147,BKAILN21501669,4840,8076,1,92,7984761,9.68,320,69743.01,2133241.18,2020-08-29,2046-12-11,Active,12057888.07,689,Vehicle Purchase,Medium
148,BKAILN23721268,2171,2861,3,24,382346,9.98,74,6939.62,362717.96,2025-06-11,2031-07-10,Active,539610.69,576,Agriculture,High
149,BKAILN85099723,3978,18742,2,67,340570,10.7,57,7647.39,152922.61,2020-11-11,2025-07-18,Active,0.0,386,Agriculture,High
150,BKAILN43782566,4041,16247,3,77,1534156,9.2,43,42016.88,567295.65,2020-10-12,2024-04-24,Active,2528084.49,669,Personal Expenses,Medium
151,BKAILN50323741,5254,19767,2,89,1196710,11.52,12,106057.7,997969.88,2020-09-03,2021-08-29,Active,0.0,439,Working Capital,High
152,BKAILN58991556,1866,18477,3,26,4654586,11.88,44,131008.33,2040802.17,2021-11-06,2025-06-18,Active,7780355.36,702,Education,Medium
153,BKAILN77015343,2281,9924,11,31,4971107,12.57,25,227049.27,806526.34,2017-09-25,2019-10-15,Active,8418328.86,718,Education,Medium
154,BKAILN82966824,603,11782,12,90,1441762,13.04,18,88619.71,1342491.18,2019-10-27,2021-04-19,Closed,0.0,728,Business Expansion,Medium
155,BKAILN67774765,1736,346,2,13,47797074,16.27,57,1209295.15,32600914.2,2017-11-27,2022-08-03,Active,0.0,639,Medical,High
156,BKAILN25578562,2322,11415,8,40,1925132,10.31,178,21153.82,1028971.46,2025-03-24,2039-11-06,Active,2515767.42,387,Medical,High
157,BKAILN96969050,1792,5386,9,95,101182,11.67,42,2946.03,83896.81,2024-12-31,2028-06-13,Active,119451.39,651,Education,Medium
158,BKAILN70340936,9703,14076,9,50,273540,10.22,47,7086.75,133739.45,2018-02-17,2021-12-28,Active,306483.68,502,Medical,High
159,BKAILN80828710,5135,19562,4,50,713390,9.61,40,20914.24,144503.9,2020-05-15,2023-08-28,Active,0.0,801,Business Expansion,Low
160,BKAILN50987410,1917,5999,6,48,373675,13.46,70,7733.78,142694.21,2024-01-01,2029-10-01,Active,0.0,544,Agriculture,High
161,BKAILN84479105,2734,16045,7,37,2779108,12.78,159,36340.76,2605762.37,2018-04-08,2031-04-30,Active,0.0,477,Working Capital,High
162,BKAILN65784972,7273,16014,8,22,35766058,11.17,151,442028.0,24598563.64,2019-11-01,2032-03-27,Active,49585849.78,803,Home Purchase,Low
163,BKAILN78559218,1855,18767,4,15,1627447,9.67,94,24756.99,1284588.83,2016-11-02,2024-07-23,Active,0.0,862,Working Capital,Low
164,BKAILN70362053,4306,11423,9,12,448461,13.2,14,34738.26,348100.34,2018-03-04,2019-04-28,Active,586764.69,333,Business Expansion,High
165,BKAILN17966873,9341,11496,4,69,4981119,9.34,174,52355.06,1424389.29,2016-09-13,2030-12-29,Active,0.0,511,Education,High
166,BKAILN47221734,2079,4349,6,32,201693,17.85,49,5826.14,162790.85,2017-02-02,2021-02-11,Active,0.0,360,Working Capital,High
167,BKAILN64069715,8448,9117,4,89,798156,11.55,124,11051.91,534976.02,2024-08-27,2034-11-03,Closed,0.0,395,Working Capital,High
168,BKAILN38434222,8106,8800,8,42,8845752,12.33,143,118317.56,5139222.85,2016-07-30,2028-04-28,Active,11079135.91,739,Working Capital,Medium
169,BKAILN69228397,7480,23,9,55,496914,12.1,48,13110.06,423883.52,2016-09-17,2020-08-27,Active,552268.7,461,Education,High
170,BKAILN93967184,5006,7673,11,55,193665,10.71,79,3426.9,176897.53,2018-01-19,2024-07-16,Active,235470.99,705,Business Expansion,Medium
171,BKAILN27740248,7827,2321,1,30,119572,8.73,139,1370.13,48930.86,2017-09-13,2029-02-12,Active,141622.95,732,Business Expansion,Medium
172,BKAILN69069144,5754,6982,2,81,1302625,12.85,50,33782.37,845777.89,2025-05-29,2029-07-07,Active,0.0,468,Agriculture,High
173,BKAILN43257324,4538,2761,10,32,2587258,9.06,39,76833.79,2501681.44,2021-07-24,2024-10-06,Active,3415575.29,443,Vehicle Purchase,High
174,BKAILN42123815,8109,12645,12,15,395194,10.66,33,13869.27,144636.2,2021-02-09,2023-10-27,Active,0.0,355,Business Expansion,High
175,BKAILN12240013,9624,2213,9,2,1163692,13.5,12,104210.98,831629.98,2019-05-18,2020-05-12,Active,1901365.85,374,Home Purchase,High
176,BKAILN47241089,1370,10156,1,11,1100809,10.38,221,11189.93,191744.45,2020-12-28,2039-02-22,Active,1624348.67,456,Medical,High
177,BKAILN21571285,7119,3801,3,59,4725625,10.49,49,118980.88,4527551.27,2017-04-26,2021-05-05,Active,5987585.07,550,Home Purchase,High
178,BKAILN44795538,2736,12186,5,17,2500981,10.0,27,103823.93,1367465.48,2023-08-31,2025-11-18,Active,3358051.16,829,Vehicle Purchase,Low
179,BKAILN76591799,7458,16738,12,47,65391,15.82,30,2653.23,63922.68,2017-07-07,2019-12-24,Active,0.0,378,Education,High
180,BKAILN42823140,754,15459,6,47,4827467,12.1,110,72833.82,674079.09,2025-06-22,2034-07-05,Active,0.0,312,Education,High
181,BKAILN86710258,6109,3913,3,65,1659442,11.78,78,30548.75,1533771.28,2020-11-01,2027-03-30,Active,2197025.86,379,Home Purchase,High
182,BKAILN59515518,3288,9555,3,73,2289099,9.48,57,50033.67,903211.69,2022-01-07,2026-09-13,Active,3404265.57,308,Medical,High
183,BKAILN54965270,24,12330,8,95,455071,10.29,186,4904.17,55299.88,2020-11-26,2036-03-07,Active,673087.16,309,Business Expansion,High
184,BKAILN65439545,6103,15023,4,96,270104,10.62,84,4571.05,245135.24,2022-11-27,2029-10-21,Active,0.0,832,Business Expansion,Low
185,BKAILN62741214,5346,10423,9,58,4381613,10.1,37,138310.45,1371859.2,2024-01-14,2027-01-28,Active,5620267.2,622,Business Expansion,High
186,BKAILN37868462,7405,10103,4,60,825920,9.04,173,8558.05,172339.0,2020-12-10,2035-02-25,Active,0.0,666,Business Expansion,Medium
